Organization,Tier,Total Score,Free Users,License Type,Customer Usage Health,True Activation,Renewal Target Amount,Days to Renewal,Renewal Date,License Pts,Health Pts,Activation Pts,Free User Pts,ARR Pts,Renewal Pts
Czech Academy of Sciences,Tier 2,69,180,Named User,Yellow,0.9166666666666666,7539.0,83,2026-04-21,7,8,14,25,4,11
Hamad Bin Khalifa - College of Health and Life Sciences,Tier 2,69,70,Defined Group,Yellow,1.292929292929293,21324.6,142,2026-06-19,5,8,18,25,8,5
San Diego State University - Cell and Molecular Biology Program Area (Biology Department),Tier 2,68,155,Named User,Yellow,1.0,5385.0,150,2026-06-27,7,8,18,25,4,6
SRM Institute of Science and Technology - School of Bioengineering - Varshini Karthik,Tier 2,68,571,Named User,Yellow,1.0,5385.0,169,2026-07-16,7,8,18,25,4,6
Istituto Neurologico Carlo Besta(IRCCS),Tier 2,68,25,Named User,Yellow,0.9863013698630136,15724.2,73,2026-04-11,7,8,16,18,8,11
Teagasc,Tier 2,68,51,Defined Group,Yellow,1.292857142857143,28756.0,327,2026-12-21,5,8,18,25,10,2
PILOT: UFZ Center for Environmental Research - Sitewide,Tier 2,67,53,Sitewide,Yellow,1.7,30810.0,368,2027-01-31,4,8,18,25,10,2
University of Perugia - Dept. of Medicine and Surgery,Tier 2,67,120,Named User,Yellow,0.88,10770.0,66,2026-04-04,7,8,10,25,6,11
"Oregon State University - School of Chemical, Biological, and Environmental Engineering",Tier 2,67,279,Named User,Green,0.8571428571428571,4308.0,290,2026-11-14,7,20,10,25,2,3
University of Puerto Rico - Biomedical Sciences,Tier 2,67,282,Right to Deploy,Yellow,0.9666666666666667,4308.0,36,2026-03-05,3,8,16,25,2,13
IIS Aragon,Tier 2,67,5,Defined Group,Extra Green,2.696969696969697,7108.2,147,2026-06-24,5,25,18,10,4,5
University of Cape Town - Neuroscience Institute,Tier 2,66,90,Named User,Yellow,0.96,5385.0,133,2026-06-10,7,8,16,25,4,6
University of Wyoming - Department of Animal Science,Tier 2,65,96,Defined Group,Yellow,1.2142857142857142,6031.2,170,2026-07-17,5,8,18,25,4,5
IKP Stuttgart - Institute for Clinical Pharmacology,Tier 2,65,1,Named User,Green,0.95,4308.0,23,2026-02-20,7,20,16,5,2,15
UT El Paso,Tier 2,65,127,Named User (Chargeback),Red,0.96,5385.0,44,2026-03-13,4,3,16,25,4,13
Georgetown University - Department of Biology,Tier 2,65,275,Defined Group,Yellow,1.6,8616.0,178,2026-07-25,5,8,18,25,4,5
Oregon State University - Department of Biomedical Sciences,Tier 2,64,279,Defined Group,Red,0.8666666666666667,9693.0,51,2026-03-20,5,3,10,25,4,17
FMP - Leibniz Research Institute for Molecular Pharmacology,Tier 2,64,12,Named User,Green,0.9615384615384616,5600.4,277,2026-11-01,7,20,16,14,4,3
