Opportunity Name,Renewal Target Amount,Renewal Date,Customer Usage Health,License Type,Opportunity Owner,TeamOrg ID,Renewed Contract Value*,Customer Relationship Health,$ Growth at Renewal,Churn Reason,Churn Reason Notes,CS POC Relationship Score,Current Number of Seats Available,Seats Filled,Seat Activation Rate,Active Users Last 90 Days,Initial Number of Seats
CS FY28 Renewal: ITESO,5330,2/9/2027,red,Named User,Fuzail Kadri,6978c33740130f572c1d09b2,,,0,,,,503,304,60,104,500
CS FY27 Renewal:   IRCCS Mondino Foundation,4308,12/21/2026,green,Named User,Fuzail Kadri,658063241316d275dc1d6702,,Healthy,0,,,Transactional (2/5),20,19,95,16,20
CS FY27 Renewal:  University of Cincinnati - Department of Biomedical Engineering,5169.6,3/26/2026,red,Defined Group,Fuzail Kadri,65fb15fe84c6f3ec780df135,6031.2,Neutral,861.6,,,Seat at the Table (3/5),70,28,40,9,24
CS FY27 Renewal:  Candice CHUM research Center- Erik Joly,10123.8,4/12/2026,green,Named User,Fuzail Kadri,6610314cdc0b74ff2cda7479,11847,Healthy,1723.2,,Hidden Chargeback,Trusted Advisor (4/5),49,48,98,43,47
CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,5385,1/12/2027,green,Named User,Fuzail Kadri,6925dd9d20745b08ceab883a,,,0,,,,25,20,80,20,25
CS FY27 Renewal:    Howard Hughes Medical Institute // Janelia // Erik Snapp,17232,6/16/2026,yellow,Defined Group,Fuzail Kadri,62aa1ad1c87405002725d5bb,,Extremely Healthy,0,,,Trusted Advisor (4/5),200,138,69,65,80
CS FY27 Renewal: UKE Hamburg - iPrime,4308,5/1/2026,red,Named User (Chargeback),Fuzail Kadri,680118a493b878f04b03fd55,0,,-4308,,,,20,16,80,12,20
CS FY27 Renewal:  University of Perugia - Dept. of Medicine and Surgery // Florinda Apone,10770,4/4/2026,yellow,Named User,Fuzail Kadri,6605ea4704dadf2a62e9c342,9693,Healthy,-1077,Low activation (e.g. unassigned seats),,Hard to Get (1/5),50,44,88,36,50
CS FY27 Renewal: University of Siena - Department of Medical Biotechnologies,9477.6,4/11/2026,orange,Right to Deploy,Fuzail Kadri,67f03fdecd001e63cb3181eb,9477.6,,0,,,Hard to Get (1/5),47,44,94,28,32
CS FY27 Renewal:  Oregon State University - Linus Pauling Institute,4308,1/6/2027,yellow,Named User,Fuzail Kadri,6769a2a4608b0a091a25f64c,,Neutral,0,,,Transactional (2/5),20,16,80,13,20
CS FY27 Renewal: Rowan University - Department of Chemical Engineering,5169.6,1/1/2027,orange,Defined Group,Fuzail Kadri,69404228582b297fad6fc595,,,0,,,,50,20,40,19,24
CS FY27 Renewal:    Florida State University - College of Arts and Sciences (Multiyear 1 of 3),32864,11/9/2026,orange,Named User,Fuzail Kadri,63697175ca98ad565273f41c,,Healthy,0,,,,160,116,73,77,160
CS FY27 Renewal:    University of Saskatchewan - Vaccine and Infectious Disease Organization (VIDO),5600.4,10/18/2026,yellow,Named User,Fuzail Kadri,634dd0f6158ada0021842687,,Neutral,0,,,,26,24,92,18,26
CS FY27 Renewal:  Universität Leipzig - Faculty of Medicine,22594,1/15/2027,yellow,Named User,Fuzail Kadri,6762f8927104f87339cbdd3b,,,0,,,Transactional (2/5),111,96,86,76,110
"CS FY27 Renewal:    Research Center Borstel, Leibniz Lung Center",16801.2,9/27/2026,yellow,Defined Group,Fuzail Kadri,614b3c67e4c754002930a0ee,,High Risk,0,,,Transactional (2/5),200,140,70,72,78
CS FY27 Renewal:     Nova Southeastern University - Oceanographic Campus Library,4308,1/13/2027,orange,Named User,Fuzail Kadri,61d87bf18d429000290d6e40,,Extremely Healthy,0,,,,21,14,67,9,20
CS FY27 Renewal: State University of New York Buffalo - Department of Microbiology and Immunology - James Bangs,4738.8,5/1/2026,extra green,Defined Group,Fuzail Kadri,680a819380df69d836f34d59,,,0,,,,70,58,83,30,22
CS FY28 Renewal: Czech Academy of Sciences - Institute of Experimental Botany,4308,3/9/2027,orange,Named User,Fuzail Kadri,69418d3b4354b0b393f5bba2,,,0,,,,21,9,43,5,20
CS FY27 Renewal:    University of New Mexico - Dept of Cell Bio & Physiology,4308,11/1/2026,green,Named User,Fuzail Kadri,63600148fa820900d93f5b8f,,High Risk,0,,,,20,20,100,18,20
CS FY27 Renewal:  University of Hannover - Medizinische Hochschule Hannover // Barbel Graus,17232,6/18/2026,yellow,Named User,Fuzail Kadri,66688b79b7933c7d9e2b7dec,17232,High Risk,0,,,Transactional (2/5),80,59,74,51,50
CS FY28 Renewal:    University at Buffalo - Department of Biochemistry,7108.2,2/23/2027,orange,Defined Group,Fuzail Kadri,63f6941e30d8a93bc7d0521c,,Neutral,0,,,,51,44,86,20,33
CS FY27 Renewal: Berry College - College of Math & Science,6462,10/27/2026,red,Right to Deploy,Fuzail Kadri,68f62c9af4d127196ee8a7b1,,,0,,,,52,12,23,5,30
CS FY27 Renewal:  Augusta University - Department of Physiology,4308,10/16/2026,green,Named User,Fuzail Kadri,66ec6134a0a76c8069a0c9a7,,Neutral,0,,,Transactional (2/5),20,20,100,19,20
CS FY28 Renewal:   Oregon State University - Department of Pharmaceutical Sciences,9477.6,2/20/2027,yellow,Defined Group,Fuzail Kadri,65cb99ace228841452b19800,,Healthy,0,,,Hard to Get (1/5),60,58,97,36,44
"CS FY27 Renewal:  National Institute of Biological Sciences, Beijing- Jing Zhang",7323.6,4/1/2026,green,Named User,Fuzail Kadri,65fc798c5c2af3f2e47738d8,7323.6,High Risk,0,,,Ghost (0/5),35,35,100,34,34
CS FY27 Renewal:  Czech Academy of Sciences - Institute of Biotechnology,12708.6,1/1/2027,orange,Defined Group,Fuzail Kadri,670fd89427eb8f96be0632ba,,,0,,,Transactional (2/5),120,82,68,38,59
CS FY27 Renewal:  Teagasc,28756,12/21/2026,orange,Defined Group,Fuzail Kadri,63a240e5e69e8b81585cbb02,,Neutral,0,,,Trusted Advisor (4/5),401,186,46,101,140
CS FY27 Renewal:  University of New Mexico Department of Biology,8400.6,7/8/2026,orange,Defined Group,Fuzail Kadri,667f206eedeeea0eb3dea4b1,,Neutral,0,,,Ghost (0/5),132,48,36,20,39
"CS FY27 Renewal:  Oregon State University - School of Chemical, Biological, and Environmental Engineering",4308,11/14/2026,yellow,Named User,Fuzail Kadri,6723ee62cffee121c4bea146,,High Risk,0,,,Ghost (0/5),21,18,86,12,20
CS FY28 Renewal:     Florida State University - College of Health & Human Sciences,7539,2/1/2027,green,Named User,Fuzail Kadri,61f06203b316cf0029229d14,,Healthy,0,,,Transactional (2/5),35,35,100,30,35
CS FY27 Renewal: Oregon State University - Environmental & Molecular Toxicology + Food Science & Technology + COMES,24648,1/15/2027,orange,Right to Deploy,Fuzail Kadri,695be222ca0c4bb2d1520b23,,,0,,,,180,148,82,90,120
