account_name,opportunity_name,free_users_with_dept_match,free_users_without_dept_match,total_free_users,self_serve_with_dept_match,self_serve_without_dept_match,total_self_serve_users,total_users
University of Eastern Finland,CS FY27 Renewal:    University of Eastern Finland,24,139,163,0,14,14,177
"Indian Institute of Technology, Kanpur",CS FY29 Renewal:   Indian Institute of Technology // Central IT,10,138,148,0,8,8,156
Department of Biology (San Diego State University),CS FY27 Renewal:  San Diego State University - Cell and Molecular Biology Program Area (Biology Department),46,77,123,10,22,32,155
Universitat Pompeu Fabra,CS FY27 Renewal:  Pompeu Fabra University // David Moreso,45,99,144,0,4,4,148
Georgia State University,CS FY27 Renewal: Georgia State University // Institute of Biomedical Sciences,32,86,118,6,22,28,146
Neuroscience Institute (Georgia State University),CS FY27 Renewal:  Georgia State University - Neuroscience Institute // Nancy Forger,32,86,118,6,22,28,146
Department of Biomedical Sciences - Rowan University,CS FY27 Renewal:  Rowan University - Cooper Medical School - Department of Biomedical Sciences,26,95,121,7,16,23,144
Rowan University,CS FY27 Renewal: Rowan University - Department of Chemical Engineering,26,95,121,7,16,23,144
University Hospital of Schleswig-Holstein,CS FY27 Renewal: University Hospital of Schleswig-Holstein // Institute for Systemic Inflammation Research,0,85,85,0,54,54,139
Faculty of Agricultural Sciences & Faculty of Natural Sciences (University of Hohenheim),CS FY27 Renewal:  University of Hohenheim - Faculty of Natural Science and Agricultural Science // Regine Movius,8,127,135,0,0,0,135
Wellcome Sanger Institute,CS FY27 Renewal: Wellcome Sanger,50,79,129,2,1,3,132
Department of Biological Sciences and Border Biomedical Research Center (The University of Texas at El Paso),CS FY27 Renewal:  UT El Paso // Dept of Biological Sciences // Charles Spencer,46,61,107,7,12,19,126
School of Medicine (St Andrews University),CS FY27 Renewal:    University of St Andrews - School of Medicine,46,59,105,6,9,15,120
Department of Medicine and Surgery (University of Perugia),CS FY27 Renewal:  University of Perugia - Dept. of Medicine and Surgery // Florinda Apone,10,105,115,1,4,5,120
Oceanographic Center (Nova Southeastern University),CS FY27 Renewal:     Nova Southeastern University - Oceanographic Campus Library,35,55,90,4,17,21,111
University of Pavia,CS FY27 Renewal: University of Pavia // Simona Collina // Department of Drug Sciences,26,67,93,3,8,11,104
Department of Internal Medicine and Therapeutics (University of Pavia),CS FY27 Renewal:  University of Pavia - Department of Internal Medicine and Therapeutics // Laura Deborah Locati,26,67,93,3,8,11,104
University Bielefeld,CS FY27 Renewal:  Bielefeld University Medical School OWL,3,75,78,1,17,18,96
Department of Animal Science (University of Wyoming),CS FY27 Renewal:   University of Wyoming - Department of Animal Science,0,72,72,0,24,24,96
Neuroscience Institute (University of Capetown),CS FY27 Renewal:  University of Cape Town - Neuroscience Institute,0,72,72,0,18,18,90
"Center for Cellular and Biomolecular Machines (University of California, Merced)","CS FY27 Renewal:    University of California Merced,  Center for Cellular and Biomolecular Machines//Ajay Gopinathan",16,44,60,12,18,30,90
Department of Innovative Technologies in Medicine and Dentistry - University of Chieti,CS FY27 Renewal:   University of Chieti - Department of Innovative Technology in Medicine and Dentistry,14,65,79,0,6,6,85
"Department of Medical, Oral and Biotechnological Sciences (University of Chieti)","CS FY27 Renewal:  University of Chieti-Dept. Medical, Oral and Biotechnology Sciences//Mariachiara Zuccarini",14,65,79,0,6,6,85
Universitat Ramon Llull,CS FY27 Renewal: Universitat Ramon Llull - Bioengineering,14,63,77,0,0,0,77
University Hospital Regensburg,CS FY27 Renewal:    Presse UKR - Leibniz Insitute for Immunotherapy,0,38,38,0,37,37,75
Regional Centre for Biotechnology,CS FY27 Renewal:  Regional Centre for Biotechnology- 25 Named Users,36,36,72,0,2,2,74
College of Medicine (Kaohsiung Medical University),"CS FY27 Renewal:    Kaohsiung Medical University (KMU), College of Medicine",0,68,68,0,6,6,74
Centre Armand-Frappier Santé Biotechnologie (Institut National De La Recherche Scientifique),CS FY27 Renewal:   INRS - Isabelle Plante // Centre Armand-Frappier Santé Biotechnologie,28,35,63,2,8,10,73
Hamad Bin Khalifa University,CS FY27 Renewal:   Hamad Bin Khalifa - College of Health and Life Sciences,43,14,57,4,10,14,71
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,16,38,54,0,13,13,67
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,2,62,64,0,3,3,67
Candice CHUM research Center,CS FY27 Renewal:  Candice CHUM research Center- Erik Joly,8,51,59,1,5,6,65
Opbg,CS FY26 Renewal:    Ospedale Pediatrico Bambino Gesù (Bambino Gesù Children’s Hospital) - Research Biobank,0,58,58,0,3,3,61
Radiation Effects Department,CS FY28 Renewal:    UK Health Security Agency - Radiation Department,13,45,58,0,1,1,59
UFZ,CS FY27 Pilot Renewal:  PILOT: UFZ Center for Environmental Research - Sitewide // Thomas Wieser IT,18,36,54,0,0,0,54
Teagasc,CS FY27 Renewal:  Teagasc,31,19,50,0,1,1,51
"Department of Pharmacy, Health and Well-being Sunderland Pharmacy School (University of Sunderland)",CS FY27 Renewal:   University of Sunderland - Biomedical Sciences,22,25,47,0,0,0,47
iteso,CS FY28 Renewal: ITESO,0,40,40,0,5,5,45
"National Institute of Biological Sciences, Beijing","CS FY27 Renewal:  National Institute of Biological Sciences, Beijing- Jing Zhang",6,31,37,0,1,1,38
Department of Biochemistry (Czech Academy of Sciences),CS FY27 Renewal:  Czech Academy of Sciences - Institute of Organic Chem and Biochem // Jiri Polach,2,34,36,0,2,2,38
Empa,CS FY27 Renewal:    Empa,9,21,30,1,4,5,35
The National Health Research Institutes - Taiwan,CS FY27 Renewal:    National Health Research Institutes - Library Services,13,18,31,1,1,2,33
Fox Chase Cancer Center - Library Services,CS FY27 Renewal:    Fox Chase Cancer Center,12,19,31,1,1,2,33
"School of Life Sciences (University of Nevada, Las Vegas)","CS FY27 Renewal:  University of Nevada, Las Vegas // School of Life Science",3,19,22,0,6,6,28
Janelia Research Campus (Howard Hughes Medical Institute),CS FY27 Renewal:    Howard Hughes Medical Institute // Janelia // Erik Snapp,9,15,24,0,4,4,28
"University of Nevada, Las Vegas","CS FY28 Renewal:  University of Nevada, Las Vegas - School of Medicine (Year 2)",3,19,22,0,6,6,28
